solute,atomicweights,ionizationenergyeV,electronegpaulingscale,structure,electronaffinityeV,confs,confp,confd,conff,atomicradiuspm,a%(solute),a%(Al),a%(N),w%(solute),w%(Al),w%(N),e33_ion,e33_ele,e33_sum,c33,d33
Al,26.982,5.986,1.61,FCC,0.441,2,1,0,0,184,0,0.5,0.5,0.329135164,0.329135164,0.341729672,1.87713,-0.42495,1.45218,354.08766,4.101187825
Sc,44.955912,6.561,1.36,HCP,0.188,2,0,1,0,211,0.083333333,0.416666667,0.5,0.170348453,0.511196774,0.318454772,2.3406,-0.43451,1.90609,265.5876,7.17687874
Sc,44.955912,6.561,1.36,HCP,0.188,2,0,1,0,211,0.166666667,0.333333333,0.5,0.318972011,0.38287982,0.298148169,2.76928,-0.41828,2.351,205.38167,11.44698064
Sc,44.955912,6.561,1.36,HCP,0.188,2,0,1,0,211,0.25,0.25,0.5,0.449777482,0.269946446,0.280276071,3.76305,0.41828,4.18133,125.267,33.37934173
Y,88.90585,6.217,1.22,HCP,0.307,2,0,1,0,219,0.083333333,0.416666667,0.5,0.288790803,0.438217525,0.272991672,2.34068,-0.43692,1.90376,250.4216,7.602219617
Y,88.90585,6.217,1.22,HCP,0.307,2,0,1,0,219,0.166666667,0.333333333,0.5,0.480858265,0.291865969,0.227275766,2.51541,-0.42226,2.09315,200.40957,10.44436151
Y,88.90585,6.217,1.22,HCP,0.307,2,0,1,0,219,0.25,0.25,0.5,0.617824822,0.187500198,0.19467498,2.77981,-0.37772,2.40209,156.24731,15.37364067
Ti,47.867,6.828,1.54,HCP,0.079,2,0,2,0,187,0.083333333,0.416666667,0.5,0.179400318,0.505619392,0.31498029,2.4142975,-0.339905,2.0743925,263.293055,7.884185311
Ti,47.867,6.828,1.54,HCP,0.079,2,0,2,0,187,0.166666667,0.333333333,0.5,0.33275385,0.375131551,0.292114599,2.6832175,-0.3834125,2.299805,169.09572,14.13535252
Ti,47.867,6.828,1.54,HCP,0.079,2,0,2,0,187,0.25,0.25,0.5,0.465349198,0.262306757,0.272344045,-0.09512,0.038245,-0.056875,375.541205,-0.153225726
